addr,x,log1pexp,signed_raw,twos_complement
823,4.8719452590420325,4.879574535076241,625,625
824,4.887585532746822,4.895096856633806,627,627
825,4.903225806451612,4.910620995051426,629,629
826,4.918866080156402,4.926146922549504,631,631
827,4.934506353861192,4.941674611766885,633,633
828,4.950146627565982,4.95720403575475,635,635
829,4.965786901270771,4.972735167970583,637,637
830,4.981427174975561,4.98826798227223,638,638
831,4.997067448680351,5.003802452912038,640,640
832,5.012707722385143,5.019338554531066,642,642
833,5.028347996089932,5.034876262153385,644,644
834,5.043988269794722,5.050415551180458,646,646
835,5.059628543499512,5.065956397385586,648,648
836,5.075268817204302,5.081498776908441,650,650
837,5.090909090909092,5.097042666249675,652,652
838,5.1065493646138815,5.1125880422655925,654,654
839,5.122189638318671,5.128134882162914,656,656
840,5.137829912023461,5.143683163493596,658,658
841,5.153470185728251,5.159232864149739,660,660
842,5.169110459433041,5.174783962358552,662,662
843,5.184750733137831,5.190336436677397,664,664
844,5.2003910068426205,5.205890265988903,666,666
845,5.21603128054741,5.221445429496142,668,668
846,5.2316715542522,5.23700190671788,670,670
847,5.24731182795699,5.25255967748389,672,672
848,5.26295210166178,5.268118721930338,674,674
